genre,id,title,rating,production_countries,budget,revenue,imdb_ids,Plot
War,9289,The Longest Day,7.577,['US'],10000000,50100000,tt0056197,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
War,8429,Paisan,7.6,['IT'],0,0,tt0038823,American military personnel interact warily with a variety of Italian locals over a year and a half in the push north during the Italian Campaign of WWII as German forces make their retreat.
War,41411,The Round Up,7.547,"['FR', 'DE', 'HU']",20000000,25346148,tt1382725,"A faithful retelling of the 1942 ""Vel' d'Hiv Roundup"" and the events surrounding it."
War,907,Doctor Zhivago,7.547,"['IT', 'GB', 'US']",11000000,111858363,tt0059113,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
War,967,Spartacus,7.541,['US'],12000000,60000000,tt0054331,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
War,1061699,The Six Triple Eight,7.5,['US'],0,0,tt24458622,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time."
War,228150,Fury,7.538,['US'],68000000,211817906,tt2713180,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945."
War,127533,Rurouni Kenshin Part I: Origins,7.5,['JP'],0,61700000,tt1979319,A former assassin who has resolved to never kill again has his vow sorely tested.
War,3482,The Train,7.5,"['FR', 'IT', 'US']",5800000,6800000,tt0059825,"In 1944, a German colonel loads a train with French art treasures to send to Germany. The Resistance must stop it without damaging the cargo."
War,10110,Empire of the Sun,7.5,['US'],35000000,66700000,tt0092965,A young English boy struggles to survive under Japanese occupation of China during World War II.
War,11046,Where Eagles Dare,7.5,['GB'],7700000,21000000,tt0065207,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on."
War,1786,Au Revoir les Enfants,7.505,"['DE', 'FR', 'IT']",0,4542825,tt0092593,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond."
War,8342,No Man's Land,7.5,"['BE', 'BA', 'FR', 'IT', 'SI', 'GB', 'US']",1012153,4858869,tt0283509,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier become..."
War,16328,Johnny Got His Gun,7.5,['US'],1000000,0,tt0067277,"During World War I, a patriotic young American is rendered blind, deaf, limbless, and mute by a horrific artillery shell attack. Trapped in what's left of his body, he desperately looks for a way to end his life."
War,11202,Patton,7.5,['US'],12000000,89800000,tt0066206,The World War II phase of the career of controversial American general George S. Patton.
War,517093,Balkan Line,7.492,"['RU', 'RS']",3500000,4944386,tt5951188,"After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK terrorists. A small band of soldiers must take over the Slatina airport, and hold ..."
War,1368,First Blood,7.5,['US'],15000000,125212904,tt0083944,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
War,1251,Letters from Iwo Jima,7.473,['US'],19000000,68673228,tt0498380,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
War,9665,Glory,7.5,['US'],18000000,26800000,tt0097441,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
